n_layer1;n_layer2;dropout_1;dropout_2;act;optim;n_batch;best_val_acc
128;256;0.2414693867543801;0.4180423768290987;swish;adam;128;0.8839
256;256;0.13052784491081054;0.3841598710362732;relu;adam;128;0.8936
256;256;0.13186174956514476;0.35691474536154866;leakyrelu;adam;64;0.8733
256;256;0.22977033124753202;0.307129642368305;relu;adam;256;0.8903
256;256;0.354315913639456;0.3878013660455583;relu;sgd;128;0.8604
128;256;0.2947036663178204;0.44153158505734647;swish;adam;128;0.8676
256;256;0.129117944963592;0.49838582753659877;relu;rmsprop;256;0.8799
256;512;0.4461157063737648;0.06577561156548599;relu;sgd;64;0.8801
512;128;0.08371656633511385;0.2791743639299187;relu;adam;128;0.8918
256;256;0.49472008485738084;0.22535298109828766;leakyrelu;adam;256;0.8735
256;512;0.15910025168497083;0.1612922878469901;relu;rmsprop;128;0.8889
512;256;0.3370143355814451;0.10143373696203437;swish;adam;64;0.8823
128;128;0.28064642062247036;0.33589237798562316;relu;sgd;128;0.86
256;512;0.2194664279292729;0.00113710076148818;leakyrelu;adam;256;0.8872
512;256;0.03462054473619067;0.39787667547793937;relu;rmsprop;64;0.8718
128;128;0.38271179212961937;0.20410708560578783;swish;adam;128;0.8802
256;256;0.17936673759707558;0.474888934284918;relu;adam;128;0.889
512;512;0.07888604343469025;0.12499566048359867;leakyrelu;rmsprop;256;0.8623
256;256;0.3296211866257104;0.07732288541156013;relu;adam;128;0.897
256;128;0.3308607292548406;0.07504452458886503;swish;sgd;64;0.842
128;256;0.47613279963177507;0.04691876778308895;relu;adam;128;0.8803
256;512;0.3982302661309852;0.014061518642574683;relu;adam;128;0.8873
512;256;0.43123759273008416;0.10045095220996164;leakyrelu;rmsprop;256;0.8707
256;128;0.46451129402765845;0.16113048027237997;relu;adam;128;0.8878
128;256;0.3744331006930032;0.0569848259549981;swish;adam;64;0.8903
256;256;0.4136818205516195;0.01866173597088401;relu;sgd;128;0.874
256;512;0.2855793006020697;0.14799450535329695;relu;adam;128;0.8922
512;256;0.2584473314733306;0.08669783099396287;leakyrelu;rmsprop;128;0.8662
256;128;0.36810246121373125;0.183373856336795;relu;adam;256;0.8934
256;256;0.3413292305402295;0.11628232847643244;swish;adam;128;0.884
128;256;0.311645334679841;0.20920451612769858;relu;sgd;64;0.8706
256;512;0.19583620735786328;0.25463866508037486;relu;adam;128;0.892
512;256;0.2734329226075388;0.13832256255170183;leakyrelu;adam;128;0.8828
256;256;0.4003099999370532;0.17300824655856528;relu;rmsprop;128;0.8832
256;128;0.24076482802892907;0.09014375796785862;relu;adam;256;0.8948
256;128;0.2435413882254877;0.08881087215328418;relu;adam;256;0.8877
256;128;0.32153646529908547;0.05292842747081712;relu;adam;256;0.896
256;128;0.3255769515274185;0.032353104331849486;relu;adam;256;0.8821
256;128;0.42389330767958655;0.06070307394387723;relu;adam;256;0.8839
256;128;0.3490305380105853;0.004071148815461813;relu;adam;256;0.8883
256;128;0.31178653485909036;0.12015667473888365;relu;adam;256;0.8923
256;128;0.21038185501561224;0.07359817391012606;relu;adam;256;0.8837
256;128;0.36576442980188506;0.052176983654058956;relu;adam;256;0.8899
256;128;0.4473596687505126;0.19550003668964966;relu;adam;256;0.8907
256;256;0.29657802168653075;0.14667848185305282;relu;adam;128;0.8779
128;256;0.2614187687449369;0.020091124959802482;swish;sgd;64;0.8364
256;128;0.385592886617286;0.22387493088830612;relu;adam;256;0.8844
256;256;0.3459900385434925;0.042127408310206976;relu;adam;128;0.8919
512;512;0.22386246267756565;0.11053495360326174;leakyrelu;rmsprop;128;0.8701
256;256;0.32055579823082997;0.1304009710029785;relu;adam;256;0.8906
256;128;0.434068144347303;0.16940460023426496;swish;sgd;128;0.8377
128;256;0.28387424787488064;0.0967190058159478;relu;adam;64;0.8874
256;256;0.4057893594276557;0.24402452283285597;relu;adam;128;0.894
256;512;0.4769385015496153;0.2809609069927919;leakyrelu;adam;256;0.874
512;128;0.3801856712757869;0.0038982895604521978;relu;rmsprop;128;0.8874
256;256;0.35804424557849546;0.21351449845472759;relu;adam;128;0.8823
128;256;0.4200827686881634;0.02700424557761151;swish;sgd;256;0.8303
256;128;0.4607842700464993;0.08189509062222608;relu;adam;64;0.8832
256;256;0.17709564894090565;0.1379201441813695;relu;adam;128;0.8948
512;512;0.3903989380999848;0.07006832810217865;leakyrelu;rmsprop;128;0.8702
256;256;0.20855324073835668;0.1727617140802924;relu;adam;256;0.8847
256;128;0.334236620620544;0.10667695346139594;swish;sgd;128;0.8388
128;256;0.2923089798657229;0.14951401150825552;relu;adam;64;0.8748
256;256;0.4973334452356163;0.1935013311280055;relu;adam;128;0.8837
256;512;0.1542584575514031;0.05897357910007072;leakyrelu;adam;128;0.8712
512;128;0.27370575306361034;0.3216895688548165;relu;rmsprop;256;0.8815
256;256;0.30570035404358387;0.23314731491393947;relu;adam;128;0.8848
256;256;0.2506255793926403;0.041750224991434964;swish;sgd;64;0.8408
128;128;0.23172519202145148;0.26951324486348355;relu;adam;256;0.8853
256;256;0.43617083291231096;0.013011332492704336;relu;adam;128;0.8827
256;512;0.3744713976043747;0.12894286626587995;leakyrelu;adam;128;0.8755
512;128;0.31726766521980604;0.2904081177494986;relu;rmsprop;256;0.8837
256;256;0.26785055108507655;0.11712827095979206;relu;adam;128;0.887
256;256;0.33086014690928894;0.03258473615136955;swish;sgd;256;0.8353
128;128;0.36222648650450356;0.1539503439293447;relu;adam;64;0.8767
256;256;0.1494175390237395;0.09766493808997383;relu;adam;128;0.8886
256;512;0.11281627795237645;0.07099267544217969;leakyrelu;adam;256;0.8773
512;128;0.34543327353784703;0.2601142041896887;relu;rmsprop;128;0.8884
256;256;0.4107229094097662;0.16509710276660933;relu;adam;128;0.8895
256;128;0.4617804797279575;0.19751751498460046;relu;adam;256;0.8868
128;256;0.4877811173330174;0.18182727799885798;swish;sgd;64;0.837
256;256;0.18673542262491571;0.2213600914324162;relu;adam;128;0.8941
